,Movie,Year,Length (Minutes),Rating,Metascore,votes,Gross(Millions)
0,Avatar: The Way of Water,2022,192,8.0,68.0,86152,
1,Guillermo del Toro's Pinocchio,2022,117,7.8,79.0,36915,
2,Avatar,2009,162,7.8,83.0,1267862,760.51
3,The Banshees of Inisherin,2022,114,8.0,87.0,34688,
4,Prisoners,2013,153,8.1,70.0,714135,61.0
5,A Christmas Story,1983,93,7.9,77.0,155152,20.61
6,Home Alone,1990,103,7.7,63.0,577479,285.76
7,Everything Everywhere All at Once,2022,139,8.1,81.0,256132,
8,Top Gun: Maverick,2022,130,8.4,78.0,451209,
9,The Batman,2022,176,7.8,72.0,637251,
10,Die Hard,1988,132,8.2,72.0,878545,83.01
11,It's a Wonderful Life,1946,130,8.6,89.0,458098,
12,Knives Out,2019,130,7.9,82.0,634770,165.36
13,All Quiet on the Western Front,2022,148,7.8,76.0,86253,
14,Kantara,2022,148,8.5,,82202,
15,The Godfather,1972,175,9.2,100.0,1853056,134.97
16,Pulp Fiction,1994,154,8.9,94.0,2048845,107.93
17,Klaus,2019,96,8.1,65.0,153819,
18,Good Will Hunting,1997,126,8.3,70.0,969010,138.43
19,The Shawshank Redemption,1994,142,9.3,81.0,2673633,28.34
20,Interstellar,2014,169,8.6,74.0,1823100,188.02
21,Harry Potter and the Sorcerer's Stone,2001,152,7.6,65.0,780359,317.58
22,Miracle on 34th Street,1947,96,7.9,88.0,49434,2.65
23,Titanic,1997,194,7.9,75.0,1172905,659.33
24,Once Upon a Time in Hollywood,2019,161,7.6,83.0,736145,142.5
25,The Muppet Christmas Carol,1992,85,7.7,64.0,61164,27.28
26,RRR,2022,187,7.9,83.0,119485,
27,Dune,2021,155,8.0,74.0,631842,108.33
28,Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,528219,190.24
29,Spider-Man: No Way Home,2021,148,8.3,71.0,751367,804.75
30,American Psycho,2000,102,7.6,64.0,620688,15.07
31,The Nightmare Before Christmas,1993,76,7.9,82.0,342763,75.08
32,The Wolf of Wall Street,2013,180,8.2,75.0,1406138,116.9
33,The Dark Knight,2008,152,9.0,84.0,2646620,534.86
34,Goodfellas,1990,145,8.7,91.0,1159269,46.84
35,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1871775,315.54
36,Inception,2010,148,8.8,74.0,2346161,292.58
37,Avengers: Endgame,2019,181,8.4,78.0,1126717,858.37
38,Requiem for a Dream,2000,102,8.3,68.0,842568,3.64
39,Rogue One: A Star Wars Story,2016,133,7.8,65.0,639230,532.18
40,Guardians of the Galaxy,2014,121,8.0,76.0,1178637,333.18
41,Joker,2019,122,8.4,59.0,1278900,335.45
42,Fight Club,1999,139,8.8,66.0,2119142,37.03
43,Whiplash,2014,106,8.5,89.0,858829,13.09
44,Blade Runner 2049,2017,164,8.0,81.0,573513,92.05
45,Indiana Jones and the Raiders of the Lost Ark,1981,115,8.4,85.0,965799,248.16
46,The Goonies,1985,114,7.7,62.0,275770,61.5
47,Beauty and the Beast,1991,84,8.0,95.0,456125,218.97
48,The Gentlemen,2019,113,7.8,51.0,340108,36.47
49,Inglourious Basterds,2009,153,8.3,69.0,1446288,120.54
