,Movie,Genre,Year,Length (Minutes),Rating,Metascore,votes,Gross(Millions)
0,Avatar: The Way of Water,"Action, Adventure, Fantasy",2022,192,8.0,68.0,86599,
1,Guillermo del Toro's Pinocchio,"Animation, Drama, Family",2022,117,7.8,79.0,36981,
2,Avatar,"Action, Adventure, Fantasy",2009,162,7.8,83.0,1267933,760.51
3,The Banshees of Inisherin,"Comedy, Drama",2022,114,8.0,87.0,34767,
4,Prisoners,"Crime, Drama, Mystery",2013,153,8.1,70.0,714151,
5,A Christmas Story,"Comedy, Family",1983,93,7.9,77.0,155155,20.61
6,Home Alone,"Comedy, Family",1990,103,7.7,63.0,577500,285.76
7,Everything Everywhere All at Once,"Action, Adventure, Comedy",2022,139,8.1,81.0,256170,
8,Top Gun: Maverick,"Action, Drama",2022,130,8.4,78.0,451262,
9,The Batman,"Action, Crime, Drama",2022,176,7.8,72.0,637277,
10,Die Hard,"Action, Thriller",1988,132,8.2,72.0,878558,
11,It's a Wonderful Life,"Drama, Family, Fantasy",1946,130,8.6,89.0,458108,
12,Knives Out,"Comedy, Crime, Drama",2019,130,7.9,82.0,634792,165.36
13,All Quiet on the Western Front,"Action, Drama, War",2022,148,7.8,76.0,86283,
14,Kantara,"Action, Adventure, Drama",2022,148,8.5,,82218,
15,The Godfather,"Crime, Drama",1972,175,9.2,100.0,1853071,
16,Pulp Fiction,"Crime, Drama",1994,154,8.9,94.0,2048860,
17,Klaus,"Animation, Adventure, Comedy",2019,96,8.1,65.0,153831,
18,Good Will Hunting,"Drama, Romance",1997,126,8.3,70.0,969026,
19,The Shawshank Redemption,Drama,1994,142,9.3,81.0,2673649,
20,Interstellar,"Adventure, Drama, Sci-Fi",2014,169,8.6,74.0,1823116,
21,Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",2001,152,7.6,65.0,780364,317.58
22,Miracle on 34th Street,"Comedy, Drama, Family",1947,96,7.9,88.0,49441,2.65
23,Titanic,"Drama, Romance",1997,194,7.9,75.0,1172918,659.33
24,Once Upon a Time in Hollywood,"Comedy, Drama",2019,161,7.6,83.0,736151,142.5
25,The Muppet Christmas Carol,"Comedy, Drama, Family",1992,85,7.7,64.0,61174,27.28
26,RRR,"Action, Drama",2022,187,7.9,83.0,119499,
27,Dune,"Action, Adventure, Drama",2021,155,8.0,74.0,631852,108.33
28,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",2018,117,8.4,87.0,528231,
29,Spider-Man: No Way Home,"Action, Adventure, Fantasy",2021,148,8.3,71.0,751382,
30,American Psycho,"Crime, Drama, Horror",2000,102,7.6,64.0,620699,15.07
31,The Nightmare Before Christmas,"Animation, Family, Fantasy",1993,76,7.9,82.0,342769,75.08
32,The Wolf of Wall Street,"Biography, Comedy, Crime",2013,180,8.2,75.0,1406157,
33,The Dark Knight,"Action, Crime, Drama",2008,152,9.0,84.0,2646633,
34,Goodfellas,"Biography, Crime, Drama",1990,145,8.7,91.0,1159280,
35,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",2001,178,8.8,92.0,1871789,
36,Inception,"Action, Adventure, Sci-Fi",2010,148,8.8,74.0,2346180,
37,Avengers: Endgame,"Action, Adventure, Drama",2019,181,8.4,78.0,1126729,
38,Requiem for a Dream,Drama,2000,102,8.3,68.0,842577,
39,Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi",2016,133,7.8,65.0,639234,532.18
40,Guardians of the Galaxy,"Action, Adventure, Comedy",2014,121,8.0,76.0,1178639,333.18
41,Joker,"Crime, Drama, Thriller",2019,122,8.4,59.0,1278918,
42,Fight Club,Drama,1999,139,8.8,66.0,2119155,
43,Whiplash,"Drama, Music",2014,106,8.5,89.0,858840,
44,Blade Runner 2049,"Action, Drama, Mystery",2017,164,8.0,81.0,573524,92.05
45,Indiana Jones and the Raiders of the Lost Ark,"Action, Adventure",1981,115,8.4,85.0,965810,
46,The Goonies,"Adventure, Comedy, Family",1985,114,7.7,62.0,275769,61.5
47,Beauty and the Beast,"Animation, Family, Fantasy",1991,84,8.0,95.0,456129,218.97
48,The Gentlemen,"Action, Comedy, Crime",2019,113,7.8,51.0,340111,36.47
49,Inglourious Basterds,"Adventure, Drama, War",2009,153,8.3,69.0,1446301,
50,Schindler's List,"Biography, Drama, History",1993,195,9.0,94.0,1353466,
51,Parasite,"Drama, Thriller",2019,132,8.5,96.0,799456,
52,Gone Girl,"Drama, Mystery, Thriller",2014,149,8.1,79.0,982386,
53,Get Out,"Horror, Mystery, Thriller",2017,104,7.7,85.0,611317,176.04
54,The Princess Bride,"Adventure, Family, Fantasy",1987,98,8.0,77.0,428956,30.86
55,Tombstone,"Biography, Drama, History",1993,130,7.8,50.0,150846,56.51
56,Stand by Me,"Adventure, Drama",1986,89,8.1,75.0,405531,
57,Shutter Island,"Mystery, Thriller",2010,138,8.2,63.0,1311934,
58,Little Women,"Drama, Romance",2019,135,7.8,91.0,206535,108.1
59,Casino Royale,"Action, Adventure, Thriller",2006,144,8.0,80.0,659058,167.45
60,Forrest Gump,"Drama, Romance",1994,142,8.8,82.0,2073483,
61,The Green Mile,"Crime, Drama, Fantasy",1999,189,8.6,61.0,1299552,
62,Aliens,"Action, Adventure, Sci-Fi",1986,137,8.4,84.0,718318,
63,Gladiator,"Action, Adventure, Drama",2000,155,8.5,67.0,1498087,
64,Edward Scissorhands,"Drama, Fantasy, Romance",1990,105,7.9,74.0,493658,56.36
65,Willy Wonka & the Chocolate Factory,"Family, Fantasy, Musical",1971,100,7.8,67.0,203714,4.0
66,In Bruges,"Comedy, Crime, Drama",2008,107,7.9,67.0,429057,7.76
67,Edge of Tomorrow,"Action, Adventure, Sci-Fi",2014,113,7.9,71.0,680091,100.21
68,Django Unchained,"Drama, Western",2012,165,8.4,81.0,1550403,
69,Black Swan,"Drama, Thriller",2010,108,8.0,79.0,768680,106.95
